country,year,income,life_expectancy,population,four_regions,eight_regions,six_regions
Afghanistan,1960,1210,38.6,9000000,asia,asia_west,south_asia
Albania,1960,2790,62.7,1640000,europe,europe_east,europe_central_asia
Algeria,1960,6520,52,11100000,africa,africa_north,middle_east_north_africa
Andorra,1960,15200,NA,13400,europe,europe_west,europe_central_asia
Angola,1960,3860,42.4,5640000,africa,africa_sub_saharan,sub_saharan_africa
Antigua and Barbuda,1960,4420,62.9,55300,americas,america_north,america
Argentina,1960,9030,64.1,20600000,americas,america_south,america
Armenia,1960,2520,62,1870000,europe,europe_east,europe_central_asia
Australia,1960,14300,71.3,10300000,asia,east_asia_pacific,east_asia_pacific
Austria,1960,12100,68.7,7070000,europe,europe_west,europe_central_asia
Azerbaijan,1960,5080,57.8,3900000,europe,europe_east,europe_central_asia
Bahamas,1960,14800,61.9,110000,americas,america_north,america
Bahrain,1960,22600,52.8,162000,asia,asia_west,middle_east_north_africa
Bangladesh,1960,1060,43.8,48200000,asia,asia_west,south_asia
Barbados,1960,4990,64.5,231000,americas,america_north,america
Belarus,1960,3950,70.6,8180000,europe,europe_east,europe_central_asia
Belgium,1960,12600,69.6,9170000,europe,europe_west,europe_central_asia
Belize,1960,2010,60.7,92100,americas,america_north,america
Benin,1960,1190,41.1,2430000,africa,africa_sub_saharan,sub_saharan_africa
Bhutan,1960,951,41.7,223000,asia,asia_west,south_asia
Bolivia,1960,2690,46.4,3690000,americas,america_south,america
Bosnia and Herzegovina,1960,1760,60.6,3230000,europe,europe_east,europe_central_asia
Botswana,1960,972,52.1,525000,africa,africa_sub_saharan,sub_saharan_africa
Brazil,1960,4440,56.8,72200000,americas,america_south,america
Brunei,1960,67000,61,81700,asia,east_asia_pacific,east_asia_pacific
Bulgaria,1960,4860,69,7890000,europe,europe_east,europe_central_asia
Burkina Faso,1960,659,38.6,4830000,africa,africa_sub_saharan,sub_saharan_africa
Burundi,1960,645,42,2790000,africa,africa_sub_saharan,sub_saharan_africa
Cambodia,1960,1550,43.9,5720000,asia,east_asia_pacific,east_asia_pacific
Cameroon,1960,1850,46.1,5180000,africa,africa_sub_saharan,sub_saharan_africa
Canada,1960,14500,71.1,17900000,americas,america_north,america
Cape Verde,1960,837,53.6,202000,africa,africa_sub_saharan,sub_saharan_africa
Central African Republic,1960,1430,41.4,1500000,africa,africa_sub_saharan,sub_saharan_africa
Chad,1960,1470,44.5,3000000,africa,africa_sub_saharan,sub_saharan_africa
Chile,1960,5940,58.2,7720000,americas,america_south,america
China,1960,891,30.9,658000000,asia,east_asia_pacific,east_asia_pacific
Colombia,1960,3480,61,16500000,americas,america_south,america
Comoros,1960,1030,46.3,191000,africa,africa_sub_saharan,sub_saharan_africa
"Congo, Dem. Rep.",1960,2240,46.5,15200000,africa,africa_sub_saharan,sub_saharan_africa
"Congo, Rep.",1960,2170,44.9,1040000,africa,africa_sub_saharan,sub_saharan_africa
Costa Rica,1960,4260,63.4,1330000,americas,america_north,america
Cote d'Ivoire,1960,2490,42.4,3560000,africa,africa_sub_saharan,sub_saharan_africa
Croatia,1960,7680,64.4,4190000,europe,europe_east,europe_central_asia
Cuba,1960,9420,65.6,7140000,americas,america_north,america
Cyprus,1960,5520,67.7,573000,europe,europe_west,europe_central_asia
Czech Republic,1960,11900,70.6,9590000,europe,europe_east,europe_central_asia
Denmark,1960,15300,72.2,4580000,europe,europe_west,europe_central_asia
Djibouti,1960,3760,52.6,83600,africa,africa_north,middle_east_north_africa
Dominica,1960,2420,NA,60000,americas,america_north,america
Dominican Republic,1960,2650,57,3290000,americas,america_north,america
Ecuador,1960,4450,57.5,4550000,americas,america_south,america
Egypt,1960,2030,47.5,27000000,africa,africa_north,middle_east_north_africa
El Salvador,1960,4000,53.2,2760000,americas,america_north,america
Equatorial Guinea,1960,659,40.5,255000,africa,africa_sub_saharan,sub_saharan_africa
Eritrea,1960,919,41.4,1400000,africa,africa_sub_saharan,sub_saharan_africa
Estonia,1960,7200,69.2,1220000,europe,europe_east,europe_central_asia
Ethiopia,1960,656,39,22200000,africa,africa_sub_saharan,sub_saharan_africa
Fiji,1960,3580,59.8,393000,asia,east_asia_pacific,east_asia_pacific
Finland,1960,10600,68.7,4430000,europe,europe_east,europe_central_asia
France,1960,11700,70.7,45900000,europe,europe_west,europe_central_asia
Gabon,1960,1440,43.7,499000,africa,africa_sub_saharan,sub_saharan_africa
Gambia,1960,1200,45.1,368000,africa,africa_sub_saharan,sub_saharan_africa
Georgia,1960,3270,61,4010000,europe,europe_east,europe_central_asia
Germany,1960,14800,69.2,73400000,europe,europe_west,europe_central_asia
Ghana,1960,2250,50.8,6650000,africa,africa_sub_saharan,sub_saharan_africa
Greece,1960,6150,70.4,8270000,europe,europe_west,europe_central_asia
Grenada,1960,2070,63,89900,americas,america_north,america
Guatemala,1960,3300,44.6,4210000,americas,america_north,america
